psi 1 1 1 1 -1
psi 1 1 2 1 6.07693e-21
psi 1 1 1 2 6.07693e-21
psi 1 1 2 2 1
psi 2 1 1 1 0
psi 2 1 2 1 -1
psi 2 1 3 1 -3.81639e-16
psi 2 1 1 2 0.998867
psi 2 1 2 2 3.33067e-16
psi 2 1 3 2 0.0475945
psi 2 2 1 1 0.0475945
psi 2 2 2 1 4.09395e-16
psi 2 2 3 1 -0.998867
psi 2 2 1 2 -6.06774e-21
psi 2 2 2 2 5.73469e-22
psi 2 2 3 2 -3.35551e-18
psi 3 1 1 1 -0.998922
psi 3 1 2 1 -3.83023e-16
psi 3 1 3 1 0.0463968
psi 3 1 1 2 3.76939e-16
psi 3 1 2 2 -0.999999
psi 3 1 3 2 -9.18539e-17
psi 3 2 1 1 -1.7688e-17
psi 3 2 2 1 -7.01316e-33
psi 3 2 3 1 -2.44208e-15
psi 3 2 1 2 -0.0464106
psi 3 2 2 2 1.22217e-16
psi 3 2 3 2 -0.998626
psi 3 3 1 1 -2.43865e-06
psi 3 3 2 1 -2.56737e-21
psi 3 3 3 1 -0.0243802
psi 3 3 1 2 3.04682e-21
psi 3 3 2 2 0.0011294
psi 3 3 3 2 4.24706e-14
psi 4 1 1 1 0
psi 4 1 2 1 0.999999
psi 4 1 3 1 -8.67984e-14
psi 4 1 1 2 -0.998921
psi 4 1 2 2 -1.1102e-16
psi 4 1 3 2 0.0464295
psi 4 2 1 1 0.0464426
psi 4 2 2 1 -2.08113e-16
psi 4 2 3 1 0.998638
psi 4 2 1 2 -8.51037e-19
psi 4 2 2 2 -8.0461e-19
psi 4 2 3 2 -1.65252e-16
psi 4 3 1 1 6.09738e-22
psi 4 3 2 1 0.00110241
psi 4 3 3 1 -9.52371e-17
psi 4 3 1 2 2.38029e-06
psi 4 3 2 2 3.65808e-12
psi 4 3 3 2 0.0237816
psi 5 1 1 1 -0.998921
psi 5 1 2 1 1.87166e-16
psi 5 1 3 1 0.0464286
psi 5 1 1 2 -1.94912e-16
psi 5 1 2 2 -0.999999
psi 5 1 3 2 -9.82408e-17
psi 5 2 1 1 8.81333e-18
psi 5 2 2 1 -1.64896e-33
psi 5 2 3 1 1.11002e-15
psi 5 2 1 2 -0.0464417
psi 5 2 2 2 1.71128e-16
psi 5 2 3 2 -0.998638
psi 5 3 1 1 2.38186e-06
psi 5 3 2 1 -6.48837e-22
psi 5 3 3 1 0.0237977
psi 5 3 1 2 8.17606e-21
psi 5 3 2 2 -0.00110314
psi 5 3 3 2 -5.79599e-14
psi 6 1 1 1 0
psi 6 1 2 1 0.999999
psi 6 1 3 1 -2.74161e-14
psi 6 1 1 2 -0.998921
